FSC-A,SSC-A,Alexa_488-A,PI-A
106737,34943.1,1182.82,115.212
6390.56,13911.8,277.841,54.4942
252124,84884.6,4916.18,154.588
262143,204461,5511.65,557.278
262143,133109,4741.05,349.793
262143,186757,7275.76,485.491
96339.8,27830.3,2173.16,107.006
92431.7,84995,127101,6217.85
132400,50655.7,1905.78,120.774
10197.4,14733.7,59699.8,611.003
262143,195706,6053.57,404.948
223204,141533,4998.38,396.632
100454,42711.6,3378.42,50.9971
138854,64870.8,4160.45,24.5073
231354,161377,4976.07,446.775
20617.5,227100,317.217,232.626
226171,129718,7978.9,290.315
121651,64481.1,1803.49,146.245
262143,95990.1,7023.67,226.733
139865,54806.6,4228.88,111.632
243154,90178,4002.12,198.041
101849,39030.2,5150.51,-7.54503
32171,18175.8,18626.2,1135.04
71495.6,19269,11861,39.7347
128848,60730.5,2214.05,136.993
8595.84,23582.2,410.014,9.55508
129935,41417.5,2139.29,139.801
126929,35049.5,2069.49,106.345
138380,54083.1,1736.57,57.2754
142762,51262.2,3336.01,155.855
155716,56860.2,1162.44,172.68
137411,46097.8,4153.15,97.4783
262143,262143,83789.7,4990.25
111935,55000.8,4123.14,198.123
151593,41412.2,2194.91,115.57
164202,80274.8,7354.24,166.209
262143,178559,9134.46,478.635
262143,195865,17341.8,666.019
105139,34074.6,1642.26,69.3913
262143,111256,10464.2,122.288
118428,43939.2,3186.22,177.526
45797.8,262143,5391.18,1309.79
124497,46833.3,858.167,156.433
118616,30962.4,1904.54,26.7652
70304.1,59778.2,39184.1,4938.32
154292,105666,56989.1,6158.37
262143,119965,6799.8,151.229
234739,108073,4993.42,233.397
262143,262143,25084.8,3740.41
146120,91192.8,5142.67,164.033
139176,59250.2,3231.24,166.209
223955,63028.7,4000.88,210.432
121499,28235.9,1214.9,87.0145
14224.3,30769.6,67814,705.011
95964,30032.7,1964.16,55.7058
192824,57699.4,4211.8,82.8564
149435,68465.7,7246.85,149.522
39515.5,19549.7,97.4783,182.317
111759,118411,158522,8757.46
110522,49720.7,3715.33,139.939
129246,38769.5,1737.4,49.0145
105527,39647.3,2356.41,30.0695
238639,97239,2687.67,241.961
114020,38494.2,2982.59,85.8304
132063,57405.5,4426.04,135.038
226981,130453,5403.3,310.829
117415,262143,1013.06,815.32
117328,42997.6,3327.89,64.187
262143,128873,7897.25,189.064
165759,70056.4,3774.12,123.941
140822,76480.3,4272.52,153.983
225536,69644.1,5364.61,192.313
262143,206155,12819.8,719.219
78012,115070,81844.6,4185.95
262143,176466,8413.97,408.39
262143,116818,11959,229.845
178935,83671.6,6742.38,246.559
153323,50387.1,4557.52,123.582
157091,68875.4,3609.86,90.6768
247777,157541,5520.19,418.716
73498.5,76879.3,77357.5,3982.54
106338,79631.1,3341.38,88.8595
262143,152756,5963.38,442.259
193388,82694.1,1620.92,189.697
22579,38314.6,67554.9,1168.17
240696,133408,4791.44,218.28
79798.4,17772.8,2079.95,-11.5927
188589,140854,32542.9,208.504
111120,75315.2,4216.35,157.122
262143,262143,111692,2781.27
118493,40965.3,1913.77,120.719
115320,40313.6,2185.28,78.9463
102881,26139.8,2325.99,81.6449
145135,63195,4264.81,98.084
262143,108122,11696,266.055
5136.56,1371.23,54.2464,16.1362
133962,51038.8,3251.48,70.2175
54994.7,74162.1,55228,414.365
200482,110318,6975.62,255.041
107641,31793.7,3764.62,32.7406
262143,198069,5528.04,459.938
106016,31858.8,2820.54,136.938
108697,71801.4,2678.04,231.938
224024,125660,6693.65,401.451
124333,59905.9,1306.18,158.388
48182.6,27936.7,53088.6,4093.04
202479,79870.5,4509.47,151.89
135838,84186.3,9776.88,-27.0681
211650,117870,3227.52,216.683
162544,92808.7,45351.6,519.168
262143,196672,13434.7,675.078
33309.8,12882.4,6131.91,33.8422
40335.7,47086,46377.4,4838.72
5368.88,7966.7,9921.03,127.41
262143,162327,34465.2,84.2601
109710,43678.5,1978.34,153.294
262143,160220,7758.2,542.243
144145,45758.7,1903.72,168.026
234155,192942,7267.23,384.653
133422,42582.6,5116.09,137.158
240156,107646,4061.32,244.411
213111,121100,9552.59,327.158
73539,115105,36663.4,1643.09
128966,37435.5,5318.35,149.522
105556,54073.8,3341.38,168.66
206815,120757,29724,201.344
153791,60834.2,1723.36,83.0493
262143,147244,9414.23,247.854
262143,111905,5455.75,304.964
9753.04,30965.1,34146,589.11
262143,262143,253427,87161.8
262143,241544,7650.39,449.887
134743,45766.6,2355.31,147.484
200133,110894,6894.11,405.113
16725.3,21883.8,23014,415.935
97680.9,27900.7,1575.62,70.7681
124631,42839.3,1808.58,82.0029
12380.7,43868.7,567.384,71.7594
112533,65205.9,3811.43,176.425
5695.36,10964.5,29067.2,225.136
171841,113663,4722.74,160.509
225170,91190.1,7095.95,222.107
183759,141451,5557.23,261.154
262143,105643,6428.61,298.713
28651,24237.9,24175,3036.28
249348,129543,3502.06,237.72
117850,37083.1,3042.89,41.387
262143,138546,7333.59,399.33
237917,153127,11590,448.4
114903,33166.2,4315.07,74.3479
73795,83649,75596.7,4792.68
262143,103728,8933.03,245.21
220050,90178,3657.5,186.2
132198,62814.6,2989.06,114.22
120729,40777.8,2106.11,46.0131
124514,50828.6,2560.04,55.2652
8642.48,10665.3,19692.7,126.061
79947.1,69158.7,85068,4603.53
134490,92082.6,40345.7,-27.8391
119147,39325.4,1316.09,139.058
243272,117716,2563.62,192.368
109847,155429,53748.4,2921.76
262143,216589,6080,459.8
185732,87036.5,6143.75,128.236
197525,97205.7,4439.12,296.84
262143,262143,7099.94,793.98
39870.2,255223,11430.7,166.071
232698,73507.8,3404.17,165.933
262143,228800,26454.3,512.366
179133,102528,4125.07,245.348
104796,44024.3,395.007,79.8275
253647,82237.9,2344.16,205.806
119220,37604.4,5483.98,22.7174
79879.4,95242.6,68154.1,4020.79
31372.9,28895.6,55612.7,557.554
145210,57989.3,4539.49,131.045
106230,29788,4469.68,57.6883
182336,104839,4794.47,320.99
262143,261138,30167.2,4520.79
262143,193467,3399.21,454.898
181673,102337,2788.32,286.212
104864,37257.3,2994.7,44.471
160191,63169.7,2532.65,116.451
15180.9,81364.1,917.92,77.5971
128182,79943.6,3890.32,172.212
65523,67561.3,80263.6,4261.98
146620,75437.6,2729.67,167.833
147770,84831.4,2502.63,163.896
113069,67282,5343.68,42.4884
149227,61134.8,9319.64,156.323
123589,56002.3,3264.7,164.143
217876,114521,14016.1,207.403
262143,138992,8650.65,169.651
8010.64,47494.3,166.457,24.5348
125641,46155,3474.25,10.4363
118883,50407,1493.98,115.817
129914,71769.5,37547.4,237.279
226646,184616,44174.7,5478.55
86555,35262.3,9007.24,21.8087
6277.92,53403.5,246.174,25.3609
83066.7,54373.1,4401.12,91.6405
262143,262143,13842.6,864.885
145867,50210.2,3957.09,129.558
112073,35765,2911.41,92.742
120673,50633.1,7993.49,117.772
14036.9,26183.7,21504.7,213.543
228697,166545,8290.06,543.62
262143,196716,8094.28,413.346
235279,118393,7184.07,138.948
116420,34482.9,973.268,122.619
252110,115004,7258.28,354.446
140283,40275.1,1257.72,164.226
101118,56881.4,3280.25,88.3637
243808,65227.2,1899.72,247.854
115917,57679.4,5475.99,102.572
112241,27219.8,295.326,12.6391
13391,8545.25,2304.64,55.6508
114676,28504.6,2976.53,26.71
153298,41973.5,3895.14,137.323
240730,153886,13378.1,389.748
152086,62390.3,7547.54,-11.2348
262143,262143,93443.7,5474.48
135815,56676.6,5448.32,126.612
45127.3,243244,18407.8,246.367
129282,46961,1735.06,72.4203
262143,262143,12859.8,903.767
262143,250533,22055,429.427
121020,47915.9,2545.17,44.3609
142354,75832.6,2105.01,123.528
9312.16,31422.6,159.572,13.5754
206153,83400.3,12618.5,85.4174
139438,42645.1,2339.75,170.064
100020,90037,20053.9,1926.41
77121.4,262143,10349.8,-23.6811
101321,36996.6,1687.01,87.4275
112274,35294.2,2435.86,86.8493
262143,203175,17582.2,297.006
262143,172012,11247.2,338.861
262143,124983,5858.47,414.09
239770,262143,173014,49071.6
113802,38852,3167.49,98.7725
183489,106425,5813.31,120.884
122689,39556.9,670.645,116.451
229577,115923,3759.52,296.483
30499,48014.3,18942.4,1909.31
106889,69798.4,767.297,80.929
157881,60186.5,7976.56,87.6203
125600,64979.8,4228.74,73.1086
132215,49046.4,993.37,121.104
219429,84608,5140.6,158.085
233126,152975,7262.41,353.042
125693,44194.6,4570.19,116.616
198794,64544.9,3303.11,179.013
262143,262143,40865.1,1148.15
134895,67437.6,6824.58,89.6028
244982,138690,9664.67,390.133
117327,56146,2176.88,109.732
139404,78529.9,5208.48,157.617
81568.1,79027.3,21412.2,314.161
262143,175000,9013.3,453.329
213426,47905.3,3048.81,141.784
222666,84396.5,8909.76,171.991
174973,130244,5698.62,177.168
105186,41873.7,5967.93,51.0246
262143,174507,9557.69,409.216
186205,122768,5990.51,277.428
6551.6,13393.1,65.2609,38.9913
120774,36851.6,2194.36,67.8768
262143,112219,3161.3,333.629
199565,96677.7,3580.12,148.668
262143,112066,5754.38,218.059
209158,68443.1,2980.11,190.413
158311,80946.5,2922.56,233.92
196685,81408,6212.72,156.654
97852.5,19255.7,616.674,31.0609
62142.1,73514.4,41201.6,6321.82
12493.4,62651,133.138,38.5232
147401,52374.1,3023.89,138.287
103894,48823,3656.95,32.1073
262143,233834,8697.73,377.081
102088,50178.2,2417.96,159.435
126500,38284.1,4640.27,54.2189
48977.3,36221.2,50860.5,4774.78
131618,52190.5,2427.73,74.9812
114502,33549.3,2086.83,145.667
228194,89902.7,4230.8,225.356
165031,155082,27262.7,116.506
108530,54326.5,3787.33,71.5666
138061,84294.1,2927.38,119.232
74186.6,128545,111259,3383.21
155392,61495.2,3754.7,105.271
130133,68157.2,4729.21,175.599
262143,122945,6641.74,242.209
147777,60775.7,8177.99,55.0449
262143,141677,5746.54,482.738
148173,91734.1,23570.1,201.592
262143,237067,11508.9,687.442
200428,118600,2730.91,248.542
69055.4,67932.4,84723.3,4844.4
252221,177604,6959.09,327.158
155692,58121,2982.31,48.684
50512.9,262143,11000.9,687.277
123971,56032.9,4979.79,63.8015
230274,99973.4,4892.36,179.977
195293,121220,7099.53,226.21
133711,53750.6,3427.16,82.3058
262143,102498,4284.36,447.877
262143,262143,21742.7,1025.04
130583,62190.8,3319.22,97.7261
30983,241476,6856.52,448.483
21527.4,35622.7,1731.48,3326.82
27940,102617,103866,1337.85
139114,56759.1,1568.19,38.7159
50872.8,60537.6,6081.24,141.509
96047.6,33637,3782.1,190.385
170433,101653,44932.9,782.553
146026,41070.4,1746.76,141.591
55411,66363,14243.7,4328.83
154190,65934.8,3112.83,153.267
124722,37040.5,4631.46,115.735
114714,29600.5,2189.13,120.196
